user_id,corporation,usage_count,total_wins,total_position_sum,win_rate,avg_position,user_name,cn_name,cn_name_plot
34fb260b5198,Thorgate (breakthrough),2,2,2,100.0,1.0,制裁苏总的黄sir,Thorgate (breakthrough),Thorgate (breakthrough)
34fb260b5198,🌸Green Leaf Dance🌸,2,2,2,100.0,1.0,制裁苏总的黄sir,🌸绿叶舞动🌸,绿叶舞动
34fb260b5198,🌸Integrated Microorganisms🌸,2,1,3,50.0,1.5,制裁苏总的黄sir,🌸微生物星尘🌸,微生物星尘
34fb260b5198,🌸Shinra Tech🌸,3,3,3,100.0,1.0,制裁苏总的黄sir,🌸樱花电🌸,樱花电
34fb260b5198,🌸SolarPlant🌸,2,2,2,100.0,1.0,制裁苏总的黄sir,🌸太阳能公司🌸,太阳能公司
383cca45f613,Chaos,4,4,4,100.0,1.0,思锐,Chaos,Chaos
383cca45f613,Imperial Star Destroyer,4,2,6,50.0,1.5,思锐,帝国歼星舰,帝国歼星舰
383cca45f613,Manutech,3,3,3,100.0,1.0,思锐,Manutech,Manutech
383cca45f613,Millennium Falcon,2,1,3,50.0,1.5,思锐,千年隼,千年隼
383cca45f613,MorningStar Inc (breakthrough),2,2,2,100.0,1.0,思锐,MorningStar Inc (breakthrough),MorningStar Inc (breakthrough)
383cca45f613,Point Luna,2,1,3,50.0,1.5,思锐,Point Luna,Point Luna
383cca45f613,Prism,2,1,3,50.0,1.5,思锐,棱镜光谱研究室,棱镜光谱研究室
383cca45f613,Runciter Associates,3,1,5,33.33,1.667,思锐,朗西斯联合公司,朗西斯联合公司
383cca45f613,Teractor (breakthrough),3,1,5,33.33,1.667,思锐,Teractor (breakthrough),Teractor (breakthrough)
383cca45f613,Tycho Magnetics,2,0,4,0.0,2.0,思锐,第谷磁力,第谷磁力
383cca45f613,UNMI (breakthrough),2,2,2,100.0,1.0,思锐,UNMI (breakthrough),UNMI (breakthrough)
383cca45f613,Valley Trust (breakthrough),2,2,2,100.0,1.0,思锐,Valley Trust (breakthrough),Valley Trust (breakthrough)
383cca45f613,Viron (breakthrough),3,2,4,66.67,1.333,思锐,Viron (breakthrough),Viron (breakthrough)
390c9a894acd,Aurorai,3,3,3,100.0,1.0,双子,Aurorai,Aurorai
390c9a894acd,Chaos,3,2,4,66.67,1.333,双子,Chaos,Chaos
390c9a894acd,Id Front,4,3,5,75.0,1.25,双子,前线基地,前线基地
390c9a894acd,Manutech,3,2,4,66.67,1.333,双子,Manutech,Manutech
390c9a894acd,Mining guild (breakthrough),2,1,3,50.0,1.5,双子,Mining guild (breakthrough),Mining guild (breakthrough)
390c9a894acd,MorningStar Inc (breakthrough),3,2,4,66.67,1.333,双子,MorningStar Inc (breakthrough),MorningStar Inc (breakthrough)
390c9a894acd,Runciter Associates,3,3,3,100.0,1.0,双子,朗西斯联合公司,朗西斯联合公司
390c9a894acd,Splice (breakthrough),4,3,5,75.0,1.25,双子,Splice (breakthrough),Splice (breakthrough)
